stnam,leaid,textbook,member,perstudbook
Arizona,0404970,3812000,61820,61.6628922678745
Arizona,0409190,233000,1423,163.738580463809
Arizona,0406250,50000,36181,1.38194079765623
Arizona,0403310,39000,417,93.5251798561151
Arizona,0403400,1885000,33658,56.0045160140234
Arizona,0400444,12000,254,47.244094488189
Arizona,0400439,4000,194,20.6185567010309
Arizona,0400447,9000,396,22.7272727272727
Arizona,0400746,290000,3375,85.9259259259259
Arizona,0400757,18000,555,32.4324324324324
Arizona,0400258,16000,93,172.043010752688
Arizona,0400192,11000,29,379.310344827586
Arizona,0400208,5000,181,27.6243093922652
Arizona,0400401,18000,194,92.7835051546392
Arizona,0401380,1030000,4802,214.493960849646
Arizona,0404500,620000,5731,108.183563077997
Arizona,0400755,50000,514,97.2762645914397
Arizona,0400751,4000,110,36.3636363636364
Arizona,0400747,32000,829,38.6007237635706
Arizona,0400758,111000,536,207.089552238806
Arizona,0400783,31000,365,84.9315068493151
Arizona,0400775,16000,793,20.1765447667087
Arizona,0400760,29000,538,53.9033457249071
Arizona,0400763,5000,673,7.4294205052006
Arizona,0400202,75000,698,107.449856733524
Arizona,0400227,10000,160,62.5
Arizona,0400404,1000,82,12.1951219512195
Arizona,0403420,714000,12276,58.1622678396872
Arizona,0400960,638000,5453,116.999816614708
Arizona,0403060,354000,4481,79.0002231644722
Arizona,0405850,115000,452,254.424778761062
Arizona,0404290,291000,6858,42.4321959755031
Arizona,0408820,8000,1890,4.23280423280423
Arizona,0404440,968000,5540,174.729241877256
Arizona,0407080,1595000,8793,181.394290913226
Arizona,0400600,6000,12393,0.484144274993948
Arizona,0404380,304000,11182,27.1865498121982
Arizona,0401680,2890000,17097,169.035503304673
Arizona,0406210,529000,9614,55.0239234449761
Arizona,0401410,26000,4069,6.38977635782748
Arizona,0403450,113000,15029,7.5187969924812
Arizona,0400254,16000,162,98.7654320987654
Arizona,0400223,14000,664,21.0843373493976
Arizona,0400217,4000,242,16.5289256198347
Arizona,0400310,75000,496,151.209677419355
Arizona,0406330,5415000,27268,198.584421299692
Arizona,0408340,2139000,13644,156.772207563764
Arizona,0408520,4e+05,11909,33.5880426568142
Arizona,0400450,78000,7780,10.025706940874
Arizona,0400100,34000,584,58.2191780821918
Arizona,0400121,9000,166,54.2168674698795
Arizona,0400031,62000,555,111.711711711712
Arizona,0400102,31000,374,82.8877005347594
Arizona,0400033,33000,232,142.241379310345
Arizona,0400034,3000,767,3.91134289439374
Arizona,0400036,4000,298,13.4228187919463
Arizona,0400235,20000,300,66.6666666666667
Arizona,0400218,49000,881,55.6186152099887
