"","GEOID","STATEFP","ELSDLEA","SCSDLEA","UNSDLEA","NAME","LSAD","LOGRADE","HIGRADE","MTFCC","SDTYP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEO_YEAR","SCHOOLYEAR","total","American.Indian.or.Alaska.Native","Asian","Black.or.African.American","Hispanic.Latino","Native.Hawaiian.or.Other.Pacific.Islander","White","minority","percentW","percentM","student_all","textbk_exp","STABBR","textbk_exp_per_student"
"53","4103630","41",NA,"03630",NA,"Harney County Union High School District 1J","00","09","12","G5410",NA,"E",22858014359,238933116,"+42.9562139","-118.9338052","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","4103600","41","03600",NA,NA,"Harney County School District 4","00","KG","08","G5400",NA,"E",5278048439,210793901,"+43.2518663","-118.8745532","2019","2018-2019",40,0,0,1,3,0,36,4,90,10,88,7000,"OR",80
"64","4104170","41","04170",NA,NA,"Diamond School District 7","00","KG","08","G5400",NA,"E",1630525834,825382,"+42.9659106","-118.6061945","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4104290","41","04290",NA,NA,"Double O School District 28","00","KG","08","G5400",NA,"E",571817653,5759643,"+43.2992738","-119.2819339","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4104380","41","04380",NA,NA,"Drewsey School District 13","00","KG","08","G5400",NA,"E",970489133,8441028,"+43.8674392","-118.4093731","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4105020","41","05020",NA,NA,"South Harney School District 33","00","KG","08","G5400",NA,"E",4420915207,3548745,"+42.4190406","-118.4795823","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","4105310","41","05310",NA,NA,"Frenchglen School District 16","00","KG","08","G5400",NA,"E",5907057869,5484439,"+42.5195585","-119.1206821","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","4106960","41","06960",NA,NA,"Juntura School District 12","00","KG","12","G5400",NA,"E",1862981754,14894992,"+43.7089031","-118.0359276","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","4109690","41","09690",NA,NA,"Pine Creek School District 5","00","KG","08","G5400",NA,"E",759934310,657591,"+43.9158286","-118.6361989","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","4111910","41","11910",NA,NA,"Suntex School District 10","00","KG","08","G5400",NA,"E",3319225914,3422387,"+43.4340605","-119.6612906","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","4100003","41",NA,NA,"00003","Falls City School District 57","00","KG","12","G5420",NA,"E",355145416,1906474,"+44.8317294","-123.6091855","2019","2018-2019",150,4,2,0,8,0,136,14,90.67,9.33,207,8000,"OR",39
"2","4100014","41",NA,NA,"00014","Vale School District 84","00","KG","12","G5420",NA,"E",1699591455,3183199,"+44.1197475","-117.4294416","2019","2018-2019",516,2,6,0,128,8,372,144,72.09,27.91,914,89000,"OR",97
